0,0
0.2,0.099500833
0.4,0.196026578
0.6,0.286700988
0.8,0.368842046
1,0.440050586
1.2,0.498289057
1.4,0.541947714
1.6,0.569895935
1.8,0.581516952
2,0.576724808
2.2,0.55596305
2.4,0.520185268
2.6,0.470818266
2.8,0.409709247
3,0.339058958
3.2,0.261343248
3.4,0.179225851
3.6,0.095465547
3.8,0.012821003
4,-0.066043328
4.2,-0.138646942
4.4,-0.202775522
4.6,-0.256552837
4.8,-0.298499859
5,-0.327579139
5.2,-0.343223007
5.4,-0.345344792
5.6,-0.334332837
5.8,-0.311027745
6,-0.276683859
6.2,-0.232916569
6.4,-0.181637511
6.6,-0.124980168
6.8,-0.065218666
7,-0.004682826
7.2,0.054327418
7.4,0.109625092
7.6,0.159213764
7.8,0.201356869
8,0.234628387
8.2,0.257990928
8.4,0.270779209
8.6,0.272748597
8.8,0.264068374
9,0.245307412
9.2,0.217405215
9.4,0.18162964
9.6,0.13952304
9.8,0.092839011
10,0.04347225
10.2,-0.006615764
10.4,-0.055472412
10.6,-0.10122804
10.8,-0.14216576
11,-0.176784382
11.2,-0.203852185
11.4,-0.222449634
11.6,-0.231999572
11.8,-0.232283913
12,-0.223446385
12.2,-0.205981416
12.4,-0.180709761
12.6,-0.148741976
12.8,-0.111431304
13,-0.070317901
13.2,-0.027066643
13.4,0.016599002
13.6,0.058964476
13.8,0.098390387
14,0.13337499
14.2,0.162610547
14.4,0.185031464
14.6,0.199852454
14.8,0.206595378
15,0.205103864
15.2,0.195545282
15.4,0.178400141
15.6,0.154439481
15.8,0.124691254
16,0.090397121
16.2,0.052961469
16.4,0.013894672
16.6,-0.025247102
16.8,-0.062923192
17,-0.097668455
17.2,-0.128149659
17.4,-0.153216123
17.6,-0.171942686
17.8,-0.183663414
18,-0.187994832
18.2,-0.184847887
18.4,-0.174428287
18.6,-0.157225316
18.8,-0.133989689
19,-0.105701409
19.2,-0.073528973
19.4,-0.038781628
19.6,-0.002856571
19.8,0.032816757
